#Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_TAKEN	L1I_CACHE	L2D_CACHE	BUS_ACCESS	BUS_CYCLES
1.002061114	bodytrack	204.0	39.5	5.072	0.324	101484136	8540	38382529	3619170	3123043	101442900
1.503015678	bodytrack	204.0	39.5	5.072	0.324	101486585	8471	38877110	3564666	3110262	101486751
2.003813570	bodytrack	204.0	39.0	5.072	0.324	99779579	8499	38334401	3493283	3110728	99776272
2.504614587	bodytrack	204.0	39.5	5.072	0.324	100753805	8706	38979785	3496992	3168153	100754693
3.005709202	bodytrack	204.0	39.0	5.072	0.324	100708452	8810	39184626	3503072	3085024	100707057
3.506542925	bodytrack	204.0	39.0	5.072	0.324	100851886	9023	39010389	3511463	3201031	100837764
4.007550973	bodytrack	204.0	39.0	5.072	0.324	99828705	8758	39047102	3453213	3151403	99843838
4.508303078	bodytrack	204.0	39.5	5.072	0.324	100570939	8987	39733070	3440744	3134829	100538122
5.009324769	bodytrack	204.0	39.0	5.072	0.324	100276908	8928	39663385	3435010	3124574	100308695
5.510282814	bodytrack	204.0	39.5	5.072	0.324	99486781	8811	39391708	3370854	3105751	99485221
6.011082675	bodytrack	204.0	39.5	5.072	0.324	101704395	8930	40823522	3413674	3100734	101704350
6.511866129	bodytrack	204.0	39.5	5.08	0.284	100526671	8516	40405853	3385612	3097308	100526495
7.013036309	bodytrack	204.0	39.0	5.072	0.325	111519313	9004	41436464	3909648	3203591	111556763
